epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.6091603257832704,0.8359444444444445,0.3429504246711731,0.9013333333333333
2,0.30407193988340875,0.913425925925926,0.2928492776552836,0.9193333333333333
3,0.2595997556668741,0.9259259259259259,0.2570249809424082,0.9251666666666667
4,0.2325978640715281,0.9332962962962963,0.23676758925120037,0.9351666666666667
5,0.20918530694864415,0.9399259259259259,0.22364242553710936,0.9365
6,0.1943488984681942,0.9445555555555556,0.21684402362505595,0.9378333333333333
7,0.18304767734695365,0.947,0.21587781675656637,0.9376666666666666
8,0.17481088034974204,0.9491851851851851,0.2090218974351883,0.9383333333333334
9,0.16734585197545865,0.9505925925925925,0.2089519986708959,0.9391666666666667
10,0.16109851220581267,0.9531481481481482,0.2015712979634603,0.9415
11,0.1558482132057349,0.9547037037037037,0.20220632835229238,0.944
12,0.1510906829105483,0.9562222222222222,0.19781649939219156,0.9425
13,0.14665923171131698,0.9569444444444445,0.20007896967728933,0.9406666666666667
14,0.1430359983002698,0.9584814814814815,0.1984940337340037,0.942
15,0.14008299398311863,0.959462962962963,0.19679373824596405,0.945
16,0.1370796817386592,0.9606296296296296,0.19450448195139566,0.9435
17,0.13482699759801228,0.96,0.1959687436024348,0.946
18,0.13254551293011066,0.9609074074074074,0.20151985625425975,0.9426666666666667
19,0.1294503079994961,0.9621481481481482,0.1944881099065145,0.9455
20,0.1275633774013431,0.9624074074074074,0.19072042322158814,0.9455
